Age,Gender,Origin,HighSchool_Grade,Admission_Test,Semester1_Grade,Socioeconomic_Level,Scholarship,Loan,Financial_Aid,Dropout
22.0,Female,Regional,3.3725113912895726,80.76409227765777,2.3004884373935623,Low,0.0,0.0,0.0,Yes
19.0,Female,Local,4.251996494291344,68.4586368007854,2.646657555140248,Low,0.0,1.0,0.0,
28.0,,National,2.174515095803494,,3.588434018553187,High,0.0,0.0,0.0,No
26.0,Male,Local,4.045753425961231,,3.3827134977409656,Low,0.0,0.0,0.0,Yes
23.0,Female,Local,4.123042596248815,71.38392884680148,2.832747530581214,Medium,0.0,0.0,1.0,No
28.0,Female,Regional,2.4633048837959253,64.21787135954064,2.7432229117297187,High,0.0,0.0,0.0,No
20.0,Female,Local,3.3286562029598254,61.56301655927814,2.7257692956693247,Medium,0.0,0.0,0.0,No
22.0,Male,Local,3.3142795670021044,59.06110308150716,2.3543128708510483,Low,1.0,1.0,0.0,Yes
25.0,Female,Regional,2.7962441526410893,48.690531166999854,4.130762982628609,Low,0.0,0.0,0.0,Yes
18.0,Male,National,,55.78987384699839,2.774375671552062,Low,0.0,1.0,1.0,No
22.0,Female,National,2.9447120772670856,344.0,3.8520109645778478,Medium,0.0,0.0,0.0,Yes
26.0,Male,Regional,4.376135221711811,58.52490559807875,4.064921236345716,Medium,0.0,0.0,0.0,No
26.0,Male,Regional,3.9678391965737307,45.17113339273624,,Low,1.0,0.0,0.0,Yes
23.0,Female,Regional,4.13577754749708,43.44616024176344,2.697865781097366,High,0.0,0.0,0.0,Yes
20.0,Male,Regional,3.8608360320216177,62.698412267302174,3.2826110632356267,Medium,0.0,0.0,0.0,No
19.0,Female,Regional,2.9354741143913854,80.880034295169,2.9830630755263585,Low,,0.0,0.0,No
23.0,Female,National,3.237739866860113,73.7747490900347,,Medium,0.0,0.0,1.0,No
23.0,Female,National,3.744687280613959,36.442490945652345,3.227051497205122,Medium,0.0,0.0,1.0,Yes
18.0,Male,Regional,2.888936095554027,45.15557795144494,2.174672146188138,Low,0.0,0.0,0.0,Yes
21.0,Male,Local,3.856499215086194,74.11156781982324,3.8313755719230946,Low,,1.0,1.0,Yes
20.0,Female,Regional,3.3798373009209324,45.26268909692536,2.6747678918911246,High,1.0,0.0,0.0,
17.0,Female,Local,3.312589596225201,56.63050275004463,3.1408117591109876,Medium,0.0,1.0,0.0,No
23.0,Male,,3.8554799841017457,68.25078148536828,3.1983015100822993,Medium,1.0,1.0,0.0,
27.0,Female,Regional,3.72213165574302,45.47483317704547,2.8187665184071458,Medium,1.0,1.0,0.0,Yes
29.0,Female,National,3.31951691709046,61.580632592189396,3.410685661032692,Low,1.0,1.0,0.0,Yes
21.0,Female,Local,4.079664901682124,39.989617576226934,2.667567440364233,Low,0.0,,0.0,No
17.0,Male,Local,2.959468336200051,50.9794853407318,3.609908108220071,Medium,0.0,1.0,0.0,No
,Male,National,3.807967803472132,64.79672901213806,2.0578142238272763,Low,1.0,1.0,0.0,Yes
20.0,Male,National,3.7965506289841917,36.105093997024966,3.0884657056824882,Low,0.0,0.0,0.0,Yes
16.0,Female,National,3.3452267803430047,66.60712106940599,4.3572502993408,High,0.0,0.0,0.0,No
27.0,,National,3.663066511121059,59.70543301609978,2.299768072776098,High,1.0,0.0,0.0,No
25.0,Female,Local,2.8744432118073484,68.28734931625722,2.525578520632604,Medium,1.0,1.0,0.0,No
,Male,Local,3.9620135096034503,63.358712010969924,3.3597354947612406,High,0.0,1.0,0.0,No
28.0,Female,,3.4075489317785053,80.46210644960766,3.1257072473577185,Low,,,0.0,No
27.0,Female,Regional,3.23863848974048,61.87836753971861,3.2454410694914912,,0.0,0.0,1.0,No
24.0,Female,National,4.024504612918444,53.558916883121206,3.3424309911033645,Low,1.0,0.0,0.0,No
16.0,Female,National,3.14782815472862,61.83446254548426,3.444305027993239,High,1.0,0.0,,Yes
26.0,Male,National,2.7957693518182203,68.14947043554582,3.7767898893693563,High,0.0,1.0,1.0,No
,Male,Regional,2.721685413238048,60.732901054885566,3.2868730598499587,Medium,0.0,0.0,0.0,No
25.0,Female,Regional,3.80300497567282,60.608875368058236,2.83111964176702,High,,0.0,0.0,No
27.0,Male,Regional,2.8597853237518587,49.47012468289867,3.470801590841912,Medium,,0.0,0.0,Yes
27.0,Male,Regional,4.377397090992182,50.05648623673578,4.329917354426651,Low,0.0,1.0,1.0,Yes
29.0,Female,Regional,2.459035296058139,38.96092092300459,2.9071563775321985,Medium,1.0,0.0,0.0,No
29.0,Female,Regional,4.348228184145019,86.24365114780409,2.317829486730551,Medium,0.0,1.0,,Yes
29.0,Male,Regional,3.6055087336013094,41.34205146913072,3.774956468500881,Low,0.0,0.0,0.0,Yes
18.0,,National,3.451643444064804,49.60642203306139,2.9157331852324813,Medium,0.0,0.0,,Yes
27.0,Male,National,3.2275404565955252,49.22389101646204,1.4791313177901748,High,0.0,0.0,0.0,Yes
22.0,Female,National,3.6995680571760357,73.42386565416662,3.593195174005295,Low,1.0,0.0,0.0,No
19.0,Male,National,3.4811826487875757,55.57575482561958,2.625270269832254,Medium,0.0,0.0,0.0,No
24.0,Female,Regional,4.051650941008261,78.716131090106,2.9366267023870876,High,1.0,1.0,1.0,Yes
18.0,Male,Local,3.5571138243310196,,3.2323862313983103,High,0.0,1.0,0.0,Yes
20.0,Male,Regional,3.5751508807309387,64.18491243335703,3.1333497758453466,High,0.0,1.0,0.0,No
18.0,,Local,3.318193893893072,47.46979420110364,3.4966162719973277,Medium,0.0,0.0,1.0,No
22.0,Female,National,3.4715271881394663,92.17723691660083,2.6951595406011095,High,0.0,1.0,0.0,Yes
20.0,Male,Regional,3.6539008844460295,42.18602371455731,3.3591740587232577,Medium,0.0,0.0,0.0,Yes
24.0,Male,National,2.644915803671687,64.64731065340541,2.818317325691258,Low,0.0,0.0,0.0,No
22.0,Female,Regional,2.8259072889471435,69.50665321398148,3.517167336621252,Medium,0.0,0.0,1.0,Yes
17.0,Female,National,3.8716320470113574,66.20698646177247,3.430757238809137,Medium,0.0,0.0,0.0,No
19.0,Male,Local,3.585432719063971,57.220685116834375,2.3451929085687833,Low,1.0,1.0,0.0,Yes
24.0,,,3.4080083318236603,58.05268950399861,3.7601874813225225,,0.0,0.0,1.0,No
27.0,Female,Local,3.5092169665326964,60.657172079686646,2.6248255884201663,Medium,1.0,0.0,0.0,No
29.0,Female,Regional,3.6737908526808356,57.79496997557267,3.5656404587968016,Low,0.0,1.0,1.0,Yes
17.0,Female,Local,3.230120159845319,74.45818675192365,3.2571011193809385,Medium,0.0,0.0,1.0,Yes
25.0,Female,Regional,3.1108476372988436,93.15784502387027,4.2867285737565854,Medium,0.0,0.0,0.0,Yes
24.0,Female,Local,3.597922627548841,51.637623224882496,2.8435738123397036,Medium,0.0,0.0,0.0,Yes
25.0,Male,Local,3.010813611192484,39.45295530631383,2.755478242717262,Low,0.0,1.0,0.0,
20.0,Female,Regional,3.7041263778572358,58.67576927473118,2.986406275878587,Low,1.0,1.0,0.0,No
17.0,Male,Regional,2.6487081978810796,,2.787774152016007,Low,1.0,0.0,0.0,Yes
19.0,Male,Local,4.014577818662822,47.944881480454036,3.559959331359435,High,0.0,0.0,0.0,No
27.0,Male,Regional,3.7362987412065216,344.0,1.8685825740943884,,0.0,0.0,1.0,Yes
27.0,Female,Local,3.6280148671569377,85.1655122111466,2.262422306597552,Medium,1.0,1.0,0.0,No
22.0,Male,Regional,3.991345491972757,51.69617637438008,2.252537954894565,Low,0.0,0.0,0.0,Yes
27.0,Male,National,4.332737222231288,68.53474618777913,-5.956470854213146,Low,1.0,0.0,1.0,No
28.0,Female,National,4.007185032509065,84.42594934692806,4.197429360807348,High,1.0,0.0,1.0,No
23.0,Male,National,2.5795628843341776,54.313083885187694,-5.956470854213146,Medium,1.0,0.0,0.0,
18.0,Male,National,2.860211516632149,56.946294598464576,2.8818247937669925,Low,0.0,0.0,1.0,No
29.0,Female,National,3.1875907111521604,51.274786290770344,3.049036514179227,Medium,,1.0,0.0,No
16.0,Male,Local,3.513045525105417,44.778649039607,3.8133148118257334,Low,0.0,0.0,1.0,Yes
19.0,,National,3.7588295102345617,50.26083682400989,2.350852806066598,Medium,0.0,0.0,0.0,Yes
17.0,Male,National,3.137128093423267,41.64089599856615,3.1668582879143496,Medium,1.0,1.0,0.0,No
23.0,Female,National,3.5933833822385393,60.51125202388839,3.682638340847701,Low,0.0,1.0,0.0,Yes
19.0,Female,National,3.1223085338233387,,3.3507659189578916,Low,0.0,0.0,0.0,No
17.0,Female,Regional,3.1942410985040257,63.50678867686121,3.1327071316191204,Low,1.0,0.0,0.0,Yes
29.0,Male,Local,2.7966694515758888,36.66156530694559,3.700732264796999,High,1.0,0.0,0.0,No
21.0,Male,National,3.038383376944548,64.96320348321686,1.107737394900534,High,1.0,1.0,0.0,Yes
21.0,Female,National,,72.50293442413387,3.4745127236716353,Low,1.0,0.0,1.0,No
25.0,Male,National,3.012063373511334,30.093965361428168,2.5421470218108033,Medium,0.0,1.0,0.0,No
19.0,Male,Local,4.02682089830392,65.61084854771359,1.7185569722004803,Low,0.0,1.0,0.0,Yes
21.0,Female,Regional,3.0253005555840287,78.41503488709938,3.3578418196674864,Low,1.0,0.0,,No
28.0,Female,Local,4.816191032418695,41.855384719631914,3.9615609816140704,Medium,0.0,0.0,0.0,Yes
,Male,Regional,3.7466589504404446,85.08858580256555,2.903786039760616,High,0.0,0.0,1.0,No
25.0,Male,National,3.592418061847437,66.28528514049067,3.6670121830420572,High,0.0,0.0,1.0,Yes
,Male,National,3.070821109909393,49.424822163623865,4.128594780592052,Medium,0.0,0.0,0.0,No
17.0,,Local,3.850154939704496,59.16346383513441,3.920440117508833,Low,1.0,1.0,0.0,No
,Female,Local,3.212181086881113,68.37490368782584,4.147975170559975,Medium,0.0,1.0,0.0,Yes
29.0,Female,Regional,3.5610049073226806,61.14008087118617,3.5194892437503245,Low,0.0,0.0,0.0,Yes
19.0,Female,Regional,4.780042269134397,68.08133988669553,3.052803547231115,Medium,0.0,1.0,1.0,
29.0,Male,Local,3.451970050137675,46.1898961038095,1.8786239316719822,Low,,0.0,0.0,Yes
23.0,Female,Regional,4.074636663142838,62.54041236054117,2.827756258309036,Medium,0.0,0.0,,No
29.0,Female,Local,3.1484117874370563,38.79428254642529,2.409727383278666,Low,0.0,0.0,0.0,Yes
22.0,Female,Regional,3.4825057547515192,58.33160907976949,4.51965990224847,Low,1.0,,0.0,
27.0,Female,Local,4.385400317817755,46.44138537802815,2.8768799312973643,High,0.0,,1.0,No
24.0,Female,Local,3.1865164711061165,48.9670508611535,3.08624336474914,Low,0.0,1.0,0.0,Yes
29.0,Male,,4.406224278998464,78.54139762815656,3.3860397632283274,Medium,0.0,0.0,0.0,No
23.0,Male,Regional,3.853875967727738,76.36965180891403,3.0305217124607178,Low,0.0,0.0,0.0,Yes
20.0,Female,Regional,3.218766612052866,69.13707181360766,4.186535728301527,Low,0.0,0.0,0.0,Yes
28.0,Male,Regional,3.8162038695277607,43.61530852991132,2.5641454467858837,Low,1.0,0.0,0.0,Yes
17.0,Female,Local,,55.25387325457797,3.1362252186660697,Low,0.0,,0.0,Yes
20.0,Female,Regional,3.810904981108598,78.19646549968775,2.4802705900113664,High,1.0,1.0,0.0,Yes
23.0,Male,Regional,2.714887640054772,62.12575370459857,2.075984242145506,Low,0.0,1.0,0.0,Yes
25.0,Male,Local,3.136431412087566,94.7899430997254,2.5717616363663,High,0.0,0.0,0.0,No
24.0,Female,National,3.3762406822242474,65.89976759091557,,Medium,0.0,0.0,0.0,Yes
27.0,Female,,3.462783285449977,62.880736747350475,2.699488442837918,Medium,1.0,0.0,0.0,No
27.0,Female,Regional,3.810336048775339,55.363253036962476,2.515305314088301,Medium,0.0,0.0,0.0,No
27.0,Male,Local,3.588850500466627,62.00311357173423,2.0155777754297164,Medium,0.0,0.0,0.0,No
28.0,Female,National,2.8323278206449496,57.712952454291845,2.941826099159914,Medium,0.0,1.0,0.0,Yes
24.0,Female,Local,3.6900989255029817,,,Low,0.0,1.0,,Yes
28.0,Female,Regional,3.8052928726419117,74.35053475191876,3.5320391745827218,Low,0.0,0.0,0.0,No
28.0,Male,National,3.7798952239655197,48.21015809238076,3.0577078270541524,High,0.0,0.0,0.0,No
16.0,Female,Regional,4.040390362777311,40.03150569663333,1.9797139503745487,High,0.0,0.0,0.0,Yes
24.0,Female,National,3.916961077274452,32.456919403450556,2.7835536460650956,,0.0,0.0,0.0,No
22.0,Male,National,3.7295900396142185,67.61986990368815,2.473490516086592,Medium,0.0,1.0,0.0,Yes
24.0,Female,Local,3.4649171442706765,43.449500907391894,3.2234221572934265,Medium,1.0,0.0,0.0,No
23.0,Female,Local,,27.706641105712755,3.938315312216201,Medium,1.0,0.0,0.0,
